id_filme,titulo,ano,data_lancamento,generos,duracao,pais,idioma,orcamento,receita,receita_eua,nota_imdb,num_avaliacoes,direcao,roteiro,producao,elenco,descricao,num_criticas_publico,num_criticas_critica
tt0031516,Juarez,1939,1939-06-10,"Biography, Drama, History",125,USA,"English, Spanish",NA,NA,NA,7.1,1951,William Dieterle,"John Huston, Æneas MacKenzie",Warner Bros.,"Paul Muni, Bette Davis, Brian Aherne, Claude Rains, John Garfield, Donald Crisp, Joseph Calleia, Gale Sondergaard, Gilbert Roland, Henry O'Neill, Harry Davenport, Louis Calhern, Walter Kingsford, Georgia Caine, Montagu Love",Louis Napoleon III takes advantage of the American Civil War to circumvent the Monroe Doctrine and expand his power by helping Emperor Maximillian Hapsburg to add Mexico to his empire.,41,12
tt0026246,Crime and Punishment,1935,1936-12-02,"Crime, Drama",88,USA,English,NA,NA,NA,7,1723,Josef von Sternberg,"Joseph Anthony, Fyodor Dostoevsky",B.P. Schulberg Productions,"Peter Lorre, Edward Arnold, Marian Marsh, Tala Birell, Elisabeth Risdon, Robert Allen, Douglass Dumbrille, Gene Lockhart, Charles Waldron, Thurston Hall, Johnny Arthur, Mrs. Patrick Campbell, A. Gest",Man is haunted by a murder he's committed.,34,25
tt0076095,The Goodbye Girl,1977,1978-06-14,"Comedy, Drama, Romance",111,USA,"English, Japanese",NA,NA,102000000,7.4,12224,Herbert Ross,Neil Simon,Warner Bros.,"Richard Dreyfuss, Marsha Mason, Quinn Cummings, Paul Benedict, Barbara Rhoades, Theresa Merritt, Michael Shawn, Patricia Pearcy, Gene Castle, Daniel Levins, Marilyn Sokol, Anita Dangler, Victoria Boothby, Robert Costanzo, Poncho Gonzalez","After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.",90,39
tt2619512,The Big Take,2018,2018-09-07,"Comedy, Thriller",83,USA,English,NA,NA,NA,6.3,1887,Justin Daly,Justin Daly,Federal Pictures,"James McCaffrey, Ebon Moss-Bachrach, Zoë Bell, Robert Forster, Dan Hedaya, Bill Sage, Oksana Lada, Slate Holmgren, Tara Westwood, John Enos III, Joslyn Jensen, Taylor Black, Nick Daly, Matthew Kehoe, Sean David Morton",Douglas Brown is a movie star who wakes up to find he is being blackmailed by someone he doesn't know. He calls his agent Jack Girardi who calls Hollywood private detective Frank Manascalpo...,10,6
tt1296869,The Keeper,2009,2009-10-03,"Action, Crime, Thriller",94,USA,"English, Spanish",6000000,NA,NA,5.1,4228,Keoni Waxman,Paul A. Birkett,Keeper Movie Productions,"Steven Seagal, Liezl Carstens, Arron Shiver, Johnnie Hector, Steph DuVall, Luce Rains, Kevin Wiggins, Trine Christensen, Tomas Sanchez, Rio Alexander, Jessica Williams, Charlie B. Brown, Seri DeYoung, David Manzanares, Angela Serrano","Roland Sallinger is an LA cop who after nearly being killed by his greedy partner, and eventually being forced to retire for medical reasons, flees to San Antonio, Texas, after being asked ...",35,31
tt2967224,Hot Pursuit,2015,2015-06-18,"Action, Comedy, Crime",87,USA,"English, Spanish",35000000,51380201,34580201,5.1,47616,Anne Fletcher,"David Feeney, John Quaintance",Metro-Goldwyn-Mayer (MGM),"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley, Robert Kazinsky, Richard T. Jones, Benny Nieves, Michael Ray Escamilla, Joaquín Cosio, John Carroll Lynch, Jim Gaffigan, Mike Birbiglia, Vincent Laresca, David Jensen, Evaluna Montaner",An uptight and by-the-book cop tries to protect the outgoing widow of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,156,175
tt0115685,The Birdcage,1996,1996-05-03,Comedy,117,USA,English,31000000,185260553,124060553,7.1,78136,Mike Nichols,"Jean Poiret, Francis Veber",United Artists,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria, Christine Baranski, Tom McGowan, Grant Heslov, Kirby Mitchell, James Lally, Luca Tommassini, Luis Camacho, André Fuentes",A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,203,78
tt0245562,Windtalkers,2002,2002-06-28,"Action, Drama, War",134,USA,"English, Navajo, Japanese",115000000,77628265,40914068,6.1,64627,John Woo,"John Rice, Joe Batteer",Metro-Goldwyn-Mayer (MGM),"Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich, Mark Ruffalo, Brian Van Holt, Martin Henderson, Roger Willie, Frances O'Connor, Christian Slater, Jason Isaacs, William Morts, Cameron Thor, Kevin Cooney, Holmes Osborne","Two U.S. Marines in World War II are assigned to protect Navajo Marines, who use their native language as an unbreakable radio cypher.",464,143
tt0088000,Revenge of the Nerds,1984,1984-08-10,Comedy,90,USA,English,8000000,40874452,40874452,6.6,47947,Jeff Kanew,"Tim Metcalfe, Miguel Tejada-Flores",Twentieth Century Fox,"Robert Carradine, Anthony Edwards, Timothy Busfield, Andrew Cassese, Curtis Armstrong, Larry B. Scott, Brian Tochi, Julia Montgomery, Michelle Meyrink, Ted McGinley, Matt Salinger, Donald Gibb, James Cromwell, David Wohl, John Goodman","At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",140,68
tt0021673,Blonde Crazy,1931,2020-07-01,"Comedy, Crime, Drama",79,USA,English,NA,NA,NA,7.1,1561,Roy Del Ruth,"Kubec Glasmon, John Bright",Warner Bros.,"James Cagney, Joan Blondell, Louis Calhern, Noel Francis, Ray Milland, Guy Kibbee, Polly Walters, William Burgess, Maude Eburne, Nat Pendleton",The adventures of an egoistic con man and his glamorous accomplice.,34,16
tt0443632,The Sentinel,2006,2006-06-23,"Action, Crime, Thriller",108,USA,English,60000000,78810595,36280697,6.1,47295,Clark Johnson,"George Nolfi, Gerald Petievich",Twentieth Century Fox,"Michael Douglas, Kiefer Sutherland, Eva Longoria, Martin Donovan, Ritchie Coster, Kim Basinger, Blair Brown, David Rasche, Kristin Lehman, Raynor Scheine, Chuck Shamata, Paul Calderon, Clark Johnson, Raoul Bhaneja, Yanna McIntosh",A Secret Service agent is framed as the mole in an assassination attempt on the President. He must clear his name and foil another assassination attempt while on the run from a Secret Service Protective Intelligence Division agent.,227,165
tt0120851,Sweepers,1998,1999-02-06,"Action, Adventure, Drama",96,USA,English,12500000,NA,NA,4.2,1551,Keoni Waxman,"Kevin Bernhardt, Kevin Bernhardt",Millennium Films,"Dolph Lundgren, Bruce Payne, Claire Stansfield, Ian Roberts, Fats Bookholane, Sifiso Maphanga, Ross Preller, Nick Boraine, Cecil Carter, David Dukas, Zukile Gqobose, Philip Notununu, Gabriel Mndaweni, Frank Pereira, Dave Ridley",A humanitarian minesweeping operation in Angola uncovers a covert operation that is planting new and deadly mines.,16,12
tt2012665,Repentance,2013,2014-09-25,"Drama, Horror, Thriller",90,USA,English,5000000,1194961,1189612,4.9,2299,Philippe Caland,"Shintaro Shimosawa, Philippe Caland",Tommy 2.0 LLC,"Forest Whitaker, Anthony Mackie, Mike Epps, Sanaa Lathan, Nicole Ari Parker, Ariana Neal, Denise Milfort, Selma Pinkard, Avery Edward Landry, Margo Swisher, Adella Gautier, Jessica Medina, Gina Blocker, Peter Weller, Ashley Toman","A successful author and spiritual advisor takes on a troubled man as a client, completely unaware that the man's fixation on his mother's death will soon put his life in jeopardy.",32,8
tt0847825,The Speed of Thought,2011,2011-04-12,"Sci-Fi, Thriller",93,USA,English,2000000,NA,NA,4.8,1582,Evan Oppenheimer,Evan Oppenheimer,El Camino Films,"Nick Stahl, Mía Maestro, Taryn Manning, Blair Brown, Wallace Shawn, Stefania Tortorella, Mike Romano, Jorge Sabate, Alan Brooks, Alvaro Ciapesone, Jacqueline Henderson, Juan Luis Granato, Marina Artigas, Zina, Florencia Canton",Joshua Lazarus has a special gift -- but will this gift destroy him before he can escape to freedom with his newly found soul mate?,21,9
tt0099595,The Forbidden Dance,1990,1990-03-16,"Drama, Music, Romance",97,USA,English,NA,1823154,1823154,3.9,1476,Greydon Clark,"Menahem Golan, Roy Langsdon",21st Century Film Corporation,"Laura Harring, Jeff James, Barbra Brighton, Miranda Garrison, Sid Haig, Ángela Moya, Richard Lynch, Shannon Farnon, Linden Chiles, Ruben Moreno, Gene Mitchell, Kenny Johnson, Connie Woods, Tom Alexander, Steven Williams",A princess in the Amazon rain forest tries to fight a conglomerate threatening the forests by going to Los Angeles. There she links up with a rich kid who tells her that she must get on TV ...,14,17
tt1947998,Dear God No!,2011,2011-09-22,"Comedy, Horror",81,USA,English,NA,NA,NA,4.5,1585,James Bickert,James Bickert,Big World Pictures (II),"Jett Bryant, Madeline Brumby, Paul McComiskey, Olivia LaCroix, Shane Morton, Johnny Collins, Nik Morgan, James Bickert, Rachelle Lynn, Heath Street, Billy Ratliff, Tim McGahren, Jim Sligh, Johnny McGowan, Parker Honeycutt",A gang of outlaw bikers pull a home invasion on a disgraced Anthropologist hiding a secret locked in his cabin basement.,37,55
tt0057263,Love with the Proper Stranger,1963,1963-12-25,"Comedy, Drama, Romance",102,USA,English,NA,NA,NA,7.4,4104,Robert Mulligan,Arnold Schulman,Pakula-Mulligan,"Natalie Wood, Steve McQueen, Edie Adams, Herschel Bernardi, Anne Hegira, Harvey Lembeck, Mario Badolati, Penny Santon, Elena Karam, Virginia Vincent, Nina Varela, E. Nick Alexander, Marilyn Chris, Augusta Ciolli, Wolfe Barzell","A salesclerk at Macy's department store finds herself pregnant after a one-night stand with a musician, who does not even remember her. Eventually, they get to know each another and fall in love.",62,23
tt0047073,Hell and High Water,1954,1954-02-06,"Action, Adventure, Drama",103,USA,"English, French, Italian, German",1870000,NA,NA,6.2,1553,Samuel Fuller,"Jesse Lasky Jr., Samuel Fuller",Twentieth Century Fox,"Richard Widmark, Bella Darvi, Victor Francen, Cameron Mitchell, Gene Evans, David Wayne, Stephen Bekassy, Richard Loo","During the Cold War, a scientific team refits a Japanese submarine and hires an ex-Navy officer to find a secret Chinese atomic island base and prevent a Communist plot against America that could trigger WW3.",29,26
tt0114825,Vampire in Brooklyn,1995,1996-05-24,"Comedy, Fantasy, Horror",100,USA,English,20000000,19751736,19751736,4.6,21153,Wes Craven,"Eddie Murphy, Vernon Lynch",Eddie Murphy Productions,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison, John Witherspoon, Zakes Mokae, Joanna Cassidy, Simbi Kali, Messiri Freeman, Kelly Cinnante, Jsu Garcia, W. Earl Brown, Ayo Adeyemi, Troy Curvey Jr., Vickilyn Reynolds","A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.",68,40
tt0035431,This Above All,1942,1942-05-12,"Drama, Romance, War",110,USA,English,1000000,NA,NA,6.8,1045,Anatole Litvak,"Eric Knight, R.C. Sherriff",Twentieth Century Fox,"Tyrone Power, Joan Fontaine, Thomas Mitchell, Henry Stephenson, Nigel Bruce, Gladys Cooper, Philip Merivale, Sara Allgood, Alexander Knox, Queenie Leonard, Melville Cooper, Jill Esmond, Holmes Herbert, Denis Green, Arthur Shields","Although she comes from an aristocratic family, beautiful Prudence Cathaway defies convention by joining the WAAFs and becoming romantically involved with an AWOL soldier.",22,4
tt0079257,H.O.T.S.,1979,1979-05-01,Comedy,98,USA,English,NA,NA,NA,4.6,1666,Gerald Seth Sindell,"W. Terry Davis, W. Terry Davis",Great American Dream Machine Movie Company,"Susan Kiger, Lisa London, Pamela Jean Bryant, Kimberly Cameron, Mary Steelsmith, Angela Aames, Marjorie Andrade, Cece Bullard, Karen Smith, Robyn Martin, Lindsay Bloom, K.C. Winkler, Sandy Johnson, Marilyn Rubin, Constance Carlton","College exploitation film focusing on the wild escapades of the women of H.O.T.S. Sorority. The antics include but are certainly not limited to a wet t-shirt contest, a sky-diving episode, ...",29,19
tt0056869,The Birds,1963,1963-10-31,"Drama, Horror, Mystery",119,USA,English,2500000,32655,NA,7.7,167317,Alfred Hitchcock,"Daphne Du Maurier, Evan Hunter",Alfred J. Hitchcock Productions,"Rod Taylor, Jessica Tandy, Suzanne Pleshette, Tippi Hedren, Veronica Cartwright, Ethel Griffies, Charles McGraw, Ruth McDevitt, Lonny Chapman, Joe Mantell, Doodles Weaver, Malcolm Atterbury, John McGovern, Karl Swenson, Richard Deacon",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,550,157
